流水	装备id	进阶品阶	需求角色等级	进阶增加属性	进阶消耗材料	进阶消耗银币
1565	equip304040431004	11	85	4,163;24,396;26,325	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1566	equip304040431004	12	90	4,186;24,452;26,371	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1567	equip304040431004	13	90	4,211;24,512;26,421	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1568	equip304040431004	14	90	4,238;24,577;26,474	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1569	equip304040431005	1	48	4,8;24,15;26,11	item103015110413,30;item103015110303,3	50000
1570	equip304040431005	2	48	4,16;24,30;26,23	item103015110413,50;item103015110303,7	100000
1571	equip304040431005	3	48	4,26;24,49;26,36	item103015110413,70;item103015110303,15	150000
1572	equip304040431005	4	48	4,38;24,70;26,53	item103015110413,100;item103015110303,28	200000
1573	equip304040431005	5	55	4,52;24,95;26,71	item103015110413,150;item103015110303,40;item103015110412,1	250000
1574	equip304040431005	6	60	4,67;24,123;26,92	item103015110413,200;item103015110303,40;item103015110412,1	500000
1575	equip304040431005	7	65	4,82;24,150;26,113	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1576	equip304040431005	8	70	4,99;24,181;26,136	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1577	equip304040431005	9	75	4,115;24,212;26,159	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1578	equip304040431005	10	80	4,134;24,246;26,184	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1579	equip304040431005	11	85	4,154;24,283;26,212	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1580	equip304040431005	12	90	4,176;24,323;26,242	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1581	equip304040431005	13	90	4,199;24,366;26,274	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1582	equip304040431005	14	90	4,225;24,412;26,309	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1583	equip304040431006	1	48	4,9;24,23;26,15	item103015110413,30;item103015110303,3	50000
1584	equip304040431006	2	48	4,18;24,47;26,31	item103015110413,50;item103015110303,7	100000
1585	equip304040431006	3	48	4,30;24,75;26,50	item103015110413,70;item103015110303,15	150000
1586	equip304040431006	4	48	4,43;24,108;26,71	item103015110413,100;item103015110303,28	200000
1587	equip304040431006	5	55	4,58;24,146;26,97	item103015110413,150;item103015110303,40;item103015110412,1	250000
1588	equip304040431006	6	60	4,75;24,188;26,125	item103015110413,200;item103015110303,40;item103015110412,1	500000
1589	equip304040431006	7	65	4,92;24,231;26,153	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1590	equip304040431006	8	70	4,111;24,278;26,184	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1591	equip304040431006	9	75	4,130;24,325;26,215	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1592	equip304040431006	10	80	4,151;24,377;26,250	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1593	equip304040431006	11	85	4,173;24,434;26,287	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1594	equip304040431006	12	90	4,198;24,495;26,328	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1595	equip304040431006	13	90	4,224;24,561;26,372	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1596	equip304040431006	14	90	4,253;24,632;26,419	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1597	equip304040432001	1	48	4,10;24,24;26,20	item103015110413,30;item103015110303,3	50000
1598	equip304040432001	2	48	4,20;24,49;26,41	item103015110413,50;item103015110303,7	100000
1599	equip304040432001	3	48	4,32;24,79;26,66	item103015110413,70;item103015110303,15	150000
1600	equip304040432001	4	48	4,46;24,114;26,95	item103015110413,100;item103015110303,28	200000
1601	equip304040432001	5	55	4,63;24,154;26,129	item103015110413,150;item103015110303,40;item103015110412,1	250000
1602	equip304040432001	6	60	4,81;24,199;26,166	item103015110413,200;item103015110303,40;item103015110412,1	500000
1603	equip304040432001	7	65	4,99;24,244;26,204	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1604	equip304040432001	8	70	4,120;24,294;26,246	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1605	equip304040432001	9	75	4,140;24,344;26,287	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1606	equip304040432001	10	80	4,163;24,399;26,333	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1607	equip304040432001	11	85	4,187;24,459;26,383	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1608	equip304040432001	12	90	4,214;24,523;26,437	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1609	equip304040432001	13	90	4,242;24,593;26,496	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1610	equip304040432001	14	90	4,273;24,668;26,558	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1611	equip304040432002	1	48	4,9;24,18;26,16	item103015110413,30;item103015110303,3	50000
1612	equip304040432002	2	48	4,19;24,36;26,33	item103015110413,50;item103015110303,7	100000
1613	equip304040432002	3	48	4,30;24,59;26,52	item103015110413,70;item103015110303,15	150000
1614	equip304040432002	4	48	4,43;24,84;26,75	item103015110413,100;item103015110303,28	200000
1615	equip304040432002	5	55	4,59;24,114;26,102	item103015110413,150;item103015110303,40;item103015110412,1	250000
1616	equip304040432002	6	60	4,76;24,147;26,132	item103015110413,200;item103015110303,40;item103015110412,1	500000
1617	equip304040432002	7	65	4,93;24,180;26,161	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1618	equip304040432002	8	70	4,112;24,217;26,194	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1619	equip304040432002	9	75	4,131;24,254;26,227	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1620	equip304040432002	10	80	4,152;24,295;26,264	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1621	equip304040432002	11	85	4,175;24,339;26,303	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1622	equip304040432002	12	90	4,200;24,387;26,346	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1623	equip304040432002	13	90	4,227;24,439;26,392	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1624	equip304040432002	14	90	4,255;24,494;26,442	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1625	equip304040432003	1	48	4,9;24,20;26,14	item103015110413,30;item103015110303,3	50000
1626	equip304040432003	2	48	4,18;24,41;26,28	item103015110413,50;item103015110303,7	100000
1627	equip304040432003	3	48	4,30;24,65;26,45	item103015110413,70;item103015110303,15	150000
1628	equip304040432003	4	48	4,43;24,94;26,66	item103015110413,100;item103015110303,28	200000
1629	equip304040432003	5	55	4,58;24,127;26,88	item103015110413,150;item103015110303,40;item103015110412,1	250000
1630	equip304040432003	6	60	4,75;24,164;26,114	item103015110413,200;item103015110303,40;item103015110412,1	500000
1631	equip304040432003	7	65	4,92;24,201;26,140	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1632	equip304040432003	8	70	4,110;24,243;26,169	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1633	equip304040432003	9	75	4,129;24,284;26,198	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1634	equip304040432003	10	80	4,150;24,329;26,229	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1635	equip304040432003	11	85	4,172;24,379;26,264	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1636	equip304040432003	12	90	4,197;24,432;26,301	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1637	equip304040432003	13	90	4,223;24,490;26,341	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1638	equip304040432003	14	90	4,251;24,552;26,384	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1639	equip304040432004	1	48	4,9;24,22;26,18	item103015110413,30;item103015110303,3	50000
1640	equip304040432004	2	48	4,18;24,45;26,37	item103015110413,50;item103015110303,7	100000
1641	equip304040432004	3	48	4,30;24,72;26,59	item103015110413,70;item103015110303,15	150000
1642	equip304040432004	4	48	4,43;24,104;26,85	item103015110413,100;item103015110303,28	200000
1643	equip304040432004	5	55	4,58;24,141;26,115	item103015110413,150;item103015110303,40;item103015110412,1	250000
1644	equip304040432004	6	60	4,75;24,182;26,149	item103015110413,200;item103015110303,40;item103015110412,1	500000
1645	equip304040432004	7	65	4,92;24,222;26,182	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1646	equip304040432004	8	70	4,110;24,268;26,220	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1647	equip304040432004	9	75	4,129;24,313;26,257	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1648	equip304040432004	10	80	4,150;24,364;26,298	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1649	equip304040432004	11	85	4,172;24,418;26,343	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1650	equip304040432004	12	90	4,197;24,477;26,391	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1651	equip304040432004	13	90	4,223;24,541;26,443	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1652	equip304040432004	14	90	4,251;24,609;26,499	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1653	equip304040432005	1	48	4,8;24,16;26,12	item103015110413,30;item103015110303,3	50000
1654	equip304040432005	2	48	4,17;24,32;26,24	item103015110413,50;item103015110303,7	100000
1655	equip304040432005	3	48	4,28;24,52;26,39	item103015110413,70;item103015110303,15	150000
1656	equip304040432005	4	48	4,40;24,74;26,56	item103015110413,100;item103015110303,28	200000
1657	equip304040432005	5	55	4,54;24,100;26,75	item103015110413,150;item103015110303,40;item103015110412,1	250000
1658	equip304040432005	6	60	4,70;24,130;26,97	item103015110413,200;item103015110303,40;item103015110412,1	500000
1659	equip304040432005	7	65	4,86;24,159;26,119	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1660	equip304040432005	8	70	4,104;24,191;26,143	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1661	equip304040432005	9	75	4,122;24,224;26,168	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1662	equip304040432005	10	80	4,141;24,260;26,195	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1663	equip304040432005	11	85	4,162;24,299;26,224	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1664	equip304040432005	12	90	4,185;24,341;26,256	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1665	equip304040432005	13	90	4,210;24,386;26,290	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1666	equip304040432005	14	90	4,237;24,435;26,326	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1667	equip304040432006	1	48	4,10;24,24;26,16	item103015110413,30;item103015110303,3	50000
1668	equip304040432006	2	48	4,20;24,49;26,33	item103015110413,50;item103015110303,7	100000
1669	equip304040432006	3	48	4,32;24,79;26,52	item103015110413,70;item103015110303,15	150000
1670	equip304040432006	4	48	4,46;24,114;26,75	item103015110413,100;item103015110303,28	200000
1671	equip304040432006	5	55	4,62;24,154;26,102	item103015110413,150;item103015110303,40;item103015110412,1	250000
1672	equip304040432006	6	60	4,80;24,199;26,132	item103015110413,200;item103015110303,40;item103015110412,1	500000
1673	equip304040432006	7	65	4,98;24,244;26,161	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
1674	equip304040432006	8	70	4,118;24,294;26,194	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
1675	equip304040432006	9	75	4,138;24,344;26,227	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
1676	equip304040432006	10	80	4,160;24,399;26,264	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
1677	equip304040432006	11	85	4,184;24,459;26,303	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
1678	equip304040432006	12	90	4,210;24,523;26,346	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
1679	equip304040432006	13	90	4,238;24,593;26,392	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
1680	equip304040432006	14	90	4,268;24,668;26,442	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
1681	equip304040433001	1	48	4,10;24,26;26,21	item103015110413,30;item103015110303,3	50000
1682	equip304040433001	2	48	4,21;24,52;26,43	item103015110413,50;item103015110303,7	100000
1683	equip304040433001	3	48	4,34;24,84;26,70	item103015110413,70;item103015110303,15	150000
1684	equip304040433001	4	48	4,49;24,120;26,100	item103015110413,100;item103015110303,28	200000
1685	equip304040433001	5	55	4,66;24,162;26,136	item103015110413,150;item103015110303,40;item103015110412,1	250000
1686	equip304040433001	6	60	4,86;24,210;26,175	item103015110413,200;item103015110303,40;item103015110412,1	500000
1687	equip304040433001	7	65	4,105;24,257;26,215	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
