流水号	主任务ID	子任务序号	子任务类型	行为类型	替换bgm	目标对象	目标线索	行为目标	战力限制	目的地提示	是否显示Content	是否显示战斗标志	目标场景	行为场景	目标坐标	是否启用停止范围	寻路停止范围	触发类型	长、宽、旋转	触发范围	需求数量	提交NPC	提交场景	提交npc坐标	自动提交任务	自动继续	完成提示显示	完成特效提示	判断进度条显示	是否显示流光特效	任务栏显示奖励掉落包	奖励显示	任务道具奖励	世界任务灰色数值奖励	世界任务灰色道具奖励	世界任务超出数量奖励	是否可放弃	显示图片	失败条件类型	失败条件参数	进行中标题	进行中内容	进行中故事	提交时标题	提交时内容	提示时故事	触发引导ID	任务邮件	隔天任务邮件	是否为界面内的	是否记录任务进度
221	152310	0	25	6	0	152310,0		-19.6,4.1,12.4,8,icon_caiji,InteractiveSearch	0				40	40	-19.6,4.1,12.4	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152310	ExecuteTaskContent152310	ExecuteTaskStory152310								0
222	152320	0	25	6	0	152320,0		-32.6,1.1,-3.9,17,icon_read,InteractiveRead	0				40	40	-32.6,1.1,-3.9	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152320	ExecuteTaskContent152320	ExecuteTaskStory152320								0
223	152330	0	25	6	0	152330,0		-10.4,1.7,34.3,18,icon_water,InteractiveWater	0				40	40	-10.4,1.7,34.3	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152330	ExecuteTaskContent152330	ExecuteTaskStory152330								0
224	152340	0	25	6	0	152340,0		-5.6,-0.4,-32.9,19,icon_clean,InteractiveClean	0				40	40	-5.6,-0.4,-32.9	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152340	ExecuteTaskContent152340	ExecuteTaskStory152340								0
225	152350	0	25	6	0	152350,0		15.9,-1.1,-34.2,20,icon_arrange,InteractiveArrange	0				40	40	15.9,-1.1,-34.2	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152350	ExecuteTaskContent152350	ExecuteTaskStory152350								0
226	152410	0	29	5	0	item102010111001		LinkUI:TradingPanel;0;1;3;2;item102010111001	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152410	ExecuteTaskContent152410	ExecuteTaskStory152410	SubmitTaskName152410	SubmitTaskContent152410	SubmitTaskStory152410					0
227	152420	0	29	5	0	item102010211001		LinkUI:TradingPanel;0;1;3;2;item102010211001	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152420	ExecuteTaskContent152420	ExecuteTaskStory152420	SubmitTaskName152420	SubmitTaskContent152420	SubmitTaskStory152420					0
228	152430	0	29	5	0	item103010111000		LinkUI:TradingPanel;0;1;3;2;item103010111000	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152430	ExecuteTaskContent152430	ExecuteTaskStory152430	SubmitTaskName152430	SubmitTaskContent152430	SubmitTaskStory152430					0
229	152440	0	29	5	0	item103010211001		LinkUI:TradingPanel;0;1;3;2;item103010211001	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152440	ExecuteTaskContent152440	ExecuteTaskStory152440	SubmitTaskName152440	SubmitTaskContent152440	SubmitTaskStory152440					0
230	152450	0	29	1	0	equip301010111001		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152450	ExecuteTaskContent152450	ExecuteTaskStory152450	SubmitTaskName152450	SubmitTaskContent152450	SubmitTaskStory152450					0
231	152460	0	29	1	0	equip301010111002		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152460	ExecuteTaskContent152460	ExecuteTaskStory152460	SubmitTaskName152460	SubmitTaskContent152460	SubmitTaskStory152460					0
232	152470	0	29	1	0	equip301010111003		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152470	ExecuteTaskContent152470	ExecuteTaskStory152470	SubmitTaskName152470	SubmitTaskContent152470	SubmitTaskStory152470					0
233	152480	0	29	1	0	equip301010111004		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152480	ExecuteTaskContent152480	ExecuteTaskStory152480	SubmitTaskName152480	SubmitTaskContent152480	SubmitTaskStory152480					0
234	152490	0	29	1	0	equip301010111005		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152490	ExecuteTaskContent152490	ExecuteTaskStory152490	SubmitTaskName152490	SubmitTaskContent152490	SubmitTaskStory152490					0
235	152500	0	29	1	0	equip302010111001		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152500	ExecuteTaskContent152500	ExecuteTaskStory152500	SubmitTaskName152500	SubmitTaskContent152500	SubmitTaskStory152500					0
236	152510	0	29	1	0	equip302010111002		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152510	ExecuteTaskContent152510	ExecuteTaskStory152510	SubmitTaskName152510	SubmitTaskContent152510	SubmitTaskStory152510					0
237	152520	0	29	1	0	equip305010111003		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152520	ExecuteTaskContent152520	ExecuteTaskStory152520	SubmitTaskName152520	SubmitTaskContent152520	SubmitTaskStory152520					0
238	152530	0	29	1	0	equip304010111004		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152530	ExecuteTaskContent152530	ExecuteTaskStory152530	SubmitTaskName152530	SubmitTaskContent152530	SubmitTaskStory152530					0
239	152540	0	29	1	0	equip306010111005		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,48000;item1003,40;item4001,1600	item1000,48000;item1003,40;item4001,1				1				ExecuteTaskName152540	ExecuteTaskContent152540	ExecuteTaskStory152540	SubmitTaskName152540	SubmitTaskContent152540	SubmitTaskStory152540					0
240	152610	0	29	5	0	item108100101103		LinkUI:TradingPanel;1;0;BuyTaskItem;item108100101103;3	0				0	0		0	0	0		0.000000	3	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName152610	ExecuteTaskContent152610	ExecuteTaskStory152610	SubmitTaskName152610	SubmitTaskContent152610	SubmitTaskStory152610					0
241	152620	0	29	5	0	item108100101203		LinkUI:TradingPanel;1;0;BuyTaskItem;item108100101203;3	0				0	0		0	0	0		0.000000	3	npc_10073	4	-79.5,12.2,-30.2	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName152620	ExecuteTaskContent152620	ExecuteTaskStory152620	SubmitTaskName152620	SubmitTaskContent152620	SubmitTaskStory152620					0
242	152630	0	29	5	0	item108100102103		LinkUI:TradingPanel;1;0;BuyTaskItem;item108100102103;3	0				0	0		0	0	0		0.000000	3	npc_10067	4	-16.1,7.3,-11.5	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName152630	ExecuteTaskContent152630	ExecuteTaskStory152630	SubmitTaskName152630	SubmitTaskContent152630	SubmitTaskStory152630					0
243	152640	0	29	5	0	item108100102203		LinkUI:TradingPanel;1;0;BuyTaskItem;item108100102203;3	0				0	0		0	0	0		0.000000	3	npc_10069	4	-93.3,12.2,-64.7	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName152640	ExecuteTaskContent152640	ExecuteTaskStory152640	SubmitTaskName152640	SubmitTaskContent152640	SubmitTaskStory152640					0
244	152650	0	29	5	0	item108100103352		LinkUI:TradingPanel;1;0;item108100103352	0				0	0		0	0	0		0.000000	2	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName152650	ExecuteTaskContent152650	ExecuteTaskStory152650	SubmitTaskName152650	SubmitTaskContent152650	SubmitTaskStory152650					0
245	152660	0	29	5	0	item108100103152		LinkUI:TradingPanel;1;0;item108100103152	0				0	0		0	0	0		0.000000	2	npc_forging_001	2	12.9,0.0,-11.9	0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName152660	ExecuteTaskContent152660	ExecuteTaskStory152660	SubmitTaskName152660	SubmitTaskContent152660	SubmitTaskStory152660					0
246	152670	0	29	5	0	item108100103252		LinkUI:TradingPanel;1;0;item108100103252	0				0	0		0	0	0		0.000000	2	npc_forging_001	2	12.9,0.0,-11.9	0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName152670	ExecuteTaskContent152670	ExecuteTaskStory152670	SubmitTaskName152670	SubmitTaskContent152670	SubmitTaskStory152670					0
247	152680	0	29	5	0	item108100103052		LinkUI:TradingPanel;1;0;item108100103052	0				0	0		0	0	0		0.000000	2	npc_forging_001	2	12.9,0.0,-11.9	0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName152680	ExecuteTaskContent152680	ExecuteTaskStory152680	SubmitTaskName152680	SubmitTaskContent152680	SubmitTaskStory152680					0
248	153010	0	2	2	0	monster10005001		monster10005001	0		1		5	5	-51.9,3.3,-30.8	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153010	ExecuteTaskContent153010	ExecuteTaskStory153010								0
249	153020	0	2	2	0	monster10005002		monster10005002	0		1		5	5	-5.1,4.0,17.0	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153020	ExecuteTaskContent153020	ExecuteTaskStory153020								0
250	153030	0	2	2	0	monster10005003		monster10005003	0		1		5	5	7.2,4.4,-3.0	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153030	ExecuteTaskContent153030	ExecuteTaskStory153030								0
251	153040	0	2	2	0	monster10005005		monster10005005	0		1		5	5	-21.9,4.4,42.7	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153040	ExecuteTaskContent153040	ExecuteTaskStory153040								0
252	153050	0	2	2	0	monster10005006		monster10005006	0		1		5	5	-33.2,4.5,37.7	0	0	0		0.000000	1		-1		0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153050	ExecuteTaskContent153050	ExecuteTaskStory153050								0
253	153310	0	25	6	0	153310,0		-19.6,4.1,12.4,8,icon_caiji,InteractiveSearch	0				40	40	-19.6,4.1,12.4	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153310	ExecuteTaskContent153310	ExecuteTaskStory153310								0
254	153320	0	25	6	0	153320,0		-32.6,1.1,-3.9,17,icon_read,InteractiveRead	0				40	40	-32.6,1.1,-3.9	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153320	ExecuteTaskContent153320	ExecuteTaskStory153320								0
255	153330	0	25	6	0	153330,0		-10.4,1.7,34.3,18,icon_water,InteractiveWater	0				40	40	-10.4,1.7,34.3	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153330	ExecuteTaskContent153330	ExecuteTaskStory153330								0
256	153340	0	25	6	0	153340,0		-5.6,-0.4,-32.9,19,icon_clean,InteractiveClean	0				40	40	-5.6,-0.4,-32.9	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153340	ExecuteTaskContent153340	ExecuteTaskStory153340								0
257	153350	0	25	6	0	153350,0		15.9,-1.1,-34.2,20,icon_arrange,InteractiveArrange	0				40	40	15.9,-1.1,-34.2	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153350	ExecuteTaskContent153350	ExecuteTaskStory153350								0
258	153410	0	29	5	0	item102010111001		LinkUI:TradingPanel;0;1;3;2;item102010111001	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153410	ExecuteTaskContent153410	ExecuteTaskStory153410	SubmitTaskName153410	SubmitTaskContent153410	SubmitTaskStory153410					0
259	153420	0	29	5	0	item102010211001		LinkUI:TradingPanel;0;1;3;2;item102010211001	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153420	ExecuteTaskContent153420	ExecuteTaskStory153420	SubmitTaskName153420	SubmitTaskContent153420	SubmitTaskStory153420					0
260	153430	0	29	5	0	item103010111000		LinkUI:TradingPanel;0;1;3;2;item103010111000	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153430	ExecuteTaskContent153430	ExecuteTaskStory153430	SubmitTaskName153430	SubmitTaskContent153430	SubmitTaskStory153430					0
261	153440	0	29	5	0	item103010211001		LinkUI:TradingPanel;0;1;3;2;item103010211001	0				0	0		0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153440	ExecuteTaskContent153440	ExecuteTaskStory153440	SubmitTaskName153440	SubmitTaskContent153440	SubmitTaskStory153440					0
262	153450	0	29	1	0	equip301010111001		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153450	ExecuteTaskContent153450	ExecuteTaskStory153450	SubmitTaskName153450	SubmitTaskContent153450	SubmitTaskStory153450					0
263	153460	0	29	1	0	equip301010111002		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153460	ExecuteTaskContent153460	ExecuteTaskStory153460	SubmitTaskName153460	SubmitTaskContent153460	SubmitTaskStory153460					0
264	153470	0	29	1	0	equip301010111003		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153470	ExecuteTaskContent153470	ExecuteTaskStory153470	SubmitTaskName153470	SubmitTaskContent153470	SubmitTaskStory153470					0
265	153480	0	29	1	0	equip301010111004		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153480	ExecuteTaskContent153480	ExecuteTaskStory153480	SubmitTaskName153480	SubmitTaskContent153480	SubmitTaskStory153480					0
266	153490	0	29	1	0	equip301010111005		npc_10039	0				2	2	-19.2,0.0,2.8	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153490	ExecuteTaskContent153490	ExecuteTaskStory153490	SubmitTaskName153490	SubmitTaskContent153490	SubmitTaskStory153490					0
267	153500	0	29	1	0	equip302010111001		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153500	ExecuteTaskContent153500	ExecuteTaskStory153500	SubmitTaskName153500	SubmitTaskContent153500	SubmitTaskStory153500					0
268	153510	0	29	1	0	equip302010111002		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153510	ExecuteTaskContent153510	ExecuteTaskStory153510	SubmitTaskName153510	SubmitTaskContent153510	SubmitTaskStory153510					0
269	153520	0	29	1	0	equip305010111003		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153520	ExecuteTaskContent153520	ExecuteTaskStory153520	SubmitTaskName153520	SubmitTaskContent153520	SubmitTaskStory153520					0
270	153530	0	29	1	0	equip304010111004		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153530	ExecuteTaskContent153530	ExecuteTaskStory153530	SubmitTaskName153530	SubmitTaskContent153530	SubmitTaskStory153530					0
271	153540	0	29	1	0	equip306010111005		npc_10040	0				2	2	-23.3,0.0,-2.5	0	0	0		0.000000	1	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,60000;item1003,40;item4001,1600	item1000,60000;item1003,40;item4001,1				1				ExecuteTaskName153540	ExecuteTaskContent153540	ExecuteTaskStory153540	SubmitTaskName153540	SubmitTaskContent153540	SubmitTaskStory153540					0
272	153610	0	29	5	0	item108100101104		LinkUI:TradingPanel;1;0;item108100101104	0				0	0		0	0	0		0.000000	3	npc_10080	40	17.9,0.8,7.4	0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName153610	ExecuteTaskContent153610	ExecuteTaskStory153610	SubmitTaskName153610	SubmitTaskContent153610	SubmitTaskStory153610					0
273	153620	0	29	5	0	item108100101204		LinkUI:TradingPanel;1;0;item108100101204	0				0	0		0	0	0		0.000000	3	npc_10095	5	-55.8,4.5,-23.5	0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName153620	ExecuteTaskContent153620	ExecuteTaskStory153620	SubmitTaskName153620	SubmitTaskContent153620	SubmitTaskStory153620					0
274	153630	0	29	5	0	item108100102104		LinkUI:TradingPanel;1;0;item108100102104	0				0	0		0	0	0		0.000000	3	npc_10091	5	23.2,8.0,60.5	0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName153630	ExecuteTaskContent153630	ExecuteTaskStory153630	SubmitTaskName153630	SubmitTaskContent153630	SubmitTaskStory153630					0
275	153640	0	29	5	0	item108100102204		LinkUI:TradingPanel;1;0;item108100102204	0				0	0		0	0	0		0.000000	3	npc_10088	5	-64.6, 6.7, 35.6	0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName153640	ExecuteTaskContent153640	ExecuteTaskStory153640	SubmitTaskName153640	SubmitTaskContent153640	SubmitTaskStory153640					0
276	154010	0	2	2	0	monster10006013		monster10006013	0		1		6	6	0.9,1.0,53.1	0	0	0		0.000000	9		-1		0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName154010	ExecuteTaskContent154010	ExecuteTaskStory154010								0
277	154020	0	2	2	0	monster10006005		monster10006005	0		1		6	6	4.4,-0.1,-13.9	0	0	0		0.000000	9		-1		0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName154020	ExecuteTaskContent154020	ExecuteTaskStory154020								0
278	154030	0	2	2	0	monster10006003		monster10006003	0		1		6	6	-23.9,0.1,-21.7	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName154030	ExecuteTaskContent154030	ExecuteTaskStory154030								0
279	154040	0	2	2	0	monster10006004		monster10006004	0		1		6	6	-10.6,0.0,-12.0	0	0	0		0.000000	15		-1		0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName154040	ExecuteTaskContent154040	ExecuteTaskStory154040								0
280	154050	0	2	2	0	monster10006007		monster10006007	0		1		6	6	47.1,-5.2,-59.2	0	0	0		0.000000	1		-1		0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName154050	ExecuteTaskContent154050	ExecuteTaskStory154050								0
281	154310	0	25	6	0	154310,0		-19.6,4.1,12.4,8,icon_caiji,InteractiveSearch	0				40	40	-19.6,4.1,12.4	0	0	0		2.000000	1		-1		0	0	0	0	0	0		item1000,72000;item1003,40;item4001,1600	item1000,72000;item1003,40;item4001,1				1				ExecuteTaskName154310	ExecuteTaskContent154310	ExecuteTaskStory154310								0
